308.848, 129.493, 4.286,  4.379 False
308.704, 129.493, 4.317,  4.412 False
308.560, 129.493, 4.349,  4.445 False
308.414, 129.494, 4.381,  4.478 False
308.267, 129.494, 4.412,  4.511 False
308.119, 129.494, 4.443,  4.544 False
307.970, 129.494, 4.474,  4.577 False
307.820, 129.494, 4.505,  4.610 False
307.669, 129.494, 4.536,  4.643 False
307.517, 129.494, 4.567,  4.676 False
307.364, 129.494, 4.598,  4.709 False
307.210, 129.494, 4.629,  4.742 False
307.055, 129.494, 4.660,  4.775 False
306.899, 129.494, 4.691,  4.808 False
306.742, 129.494, 4.721,  4.841 False
306.584, 129.497, 4.747,  4.874 False
306.425, 129.502, 4.776,  4.907 False
306.265, 129.507, 4.809,  4.940 False
306.104, 129.513, 4.841,  4.973 False
305.942, 129.521, 4.872,  5.006 False
305.779, 129.528, 4.904,  5.039 False
305.615, 129.537, 4.935,  5.072 False
305.450, 129.546, 4.966,  5.105 False
305.284, 129.556, 4.997,  5.138 False
305.117, 129.566, 5.029,  5.171 False
304.949, 129.578, 5.059,  5.204 False
304.779, 129.589, 5.091,  5.237 False
304.609, 129.602, 5.121,  5.270 False
304.439, 129.615, 5.150,  5.303 False
304.267, 129.630, 5.173,  5.336 False
304.095, 129.644, 5.185,  5.369 False
303.923, 129.660, 5.186,  5.402 False
303.751, 129.676, 5.182,  5.435 False
303.579, 129.692, 5.188,  5.468 False
303.407, 129.707, 5.202,  5.501 False
303.234, 129.724, 5.224,  5.534 False
303.060, 129.740, 5.252,  5.567 False
302.884, 129.758, 5.285,  5.600 False
302.708, 129.776, 5.323,  5.633 False
302.530, 129.794, 5.364,  5.666 False
302.351, 129.811, 5.405,  5.699 False
302.171, 129.829, 5.446,  5.732 False
301.989, 129.848, 5.488,  5.765 False
301.806, 129.867, 5.529,  5.798 False
301.621, 129.886, 5.571,  5.831 False
301.436, 129.906, 5.611,  5.864 False
301.249, 129.925, 5.650,  5.897 False
301.060, 129.947, 5.688,  5.930 False
300.871, 129.970, 5.725,  5.963 False
300.681, 129.993, 5.763,  5.996 False
300.489, 130.017, 5.799,  6.029 False
300.296, 130.040, 5.837,  6.062 False
300.102, 130.064, 5.872,  6.095 False
299.907, 130.087, 5.907,  6.128 False
299.711, 130.111, 5.941,  6.161 False
299.513, 130.134, 5.976,  6.194 False
299.315, 130.158, 6.009,  6.227 False
299.115, 130.182, 6.043,  6.260 False
298.914, 130.206, 6.076,  6.293 False
298.712, 130.231, 6.110,  6.326 False
298.509, 130.256, 6.143,  6.359 False
298.305, 130.281, 6.177,  6.392 False
298.100, 130.306, 6.209,  6.425 False
297.894, 130.332, 6.242,  6.458 False
297.687, 130.358, 6.274,  6.491 False
297.478, 130.383, 6.306,  6.524 False
297.269, 130.409, 6.338,  6.557 False
297.059, 130.435, 6.370,  6.590 False
296.847, 130.462, 6.401,  6.623 False
296.634, 130.488, 6.434,  6.656 False
296.421, 130.514, 6.465,  6.689 False
296.206, 130.541, 6.497,  6.722 False
295.991, 130.568, 6.528,  6.755 False
295.774, 130.595, 6.560,  6.788 False
295.556, 130.622, 6.590,  6.821 False
295.337, 130.650, 6.622,  6.854 False
295.118, 130.677, 6.652,  6.887 False
294.897, 130.705, 6.684,  6.920 False
294.675, 130.733, 6.714,  6.953 False
294.452, 130.761, 6.745,  6.986 False
294.228, 130.789, 6.775,  7.019 False
294.004, 130.817, 6.806,  7.052 False
293.778, 130.845, 6.835,  7.085 False
293.551, 130.874, 6.866,  7.118 False
293.323, 130.902, 6.895,  7.151 False
293.094, 130.931, 6.926,  7.184 False
292.865, 130.960, 6.955,  7.217 False
292.634, 130.988, 6.985,  7.250 False
292.402, 131.017, 7.014,  7.283 False
292.169, 131.046, 7.043,  7.316 False
291.936, 131.075, 7.072,  7.349 False
291.701, 131.104, 7.102,  7.382 False
291.465, 131.133, 7.130,  7.415 False
291.229, 131.162, 7.159,  7.448 False
290.991, 131.192, 7.188,  7.481 False
290.752, 131.220, 7.218,  7.514 False
290.513, 131.249, 7.247,  7.547 False
290.272, 131.278, 7.277,  7.580 False
290.031, 131.308, 7.306,  7.613 False
289.788, 131.337, 7.336,  7.646 False
289.545, 131.366, 7.365,  7.679 False
289.300, 131.395, 7.395,  7.712 False
289.055, 131.425, 7.423,  7.745 False
288.808, 131.454, 7.453,  7.778 False
288.561, 131.483, 7.481,  7.811 False
288.313, 131.512, 7.511,  7.844 False
288.063, 131.541, 7.539,  7.877 False
287.813, 131.569, 7.567,  7.910 False
287.561, 131.596, 7.595,  7.943 False
287.309, 131.622, 7.624,  7.976 False
287.055, 131.648, 7.653,  8.009 False
286.801, 131.673, 7.683,  8.042 False
286.545, 131.698, 7.711,  8.075 False
286.288, 131.720, 7.738,  8.108 False
286.030, 131.741, 7.765,  8.141 False
285.772, 131.761, 7.795,  8.174 False
285.512, 131.779, 7.822,  8.207 False
285.251, 131.796, 7.853,  8.240 False
284.989, 131.811, 7.881,  8.273 False
284.726, 131.826, 7.912,  8.306 False
284.462, 131.842, 7.942,  8.339 False
284.197, 131.856, 7.971,  8.372 False
283.931, 131.869, 8.000,  8.405 False
283.664, 131.881, 8.029,  8.438 False
283.395, 131.892, 8.058,  8.471 False
283.126, 131.902, 8.087,  8.504 False
282.856, 131.911, 8.114,  8.537 False
282.585, 131.918, 8.144,  8.570 False
282.313, 131.924, 8.172,  8.603 False
282.040, 131.930, 8.202,  8.636 False
281.766, 131.933, 8.228,  8.669 False
281.491, 131.937, 8.250,  8.702 False
281.216, 131.940, 8.267,  8.735 False
280.940, 131.943, 8.281,  8.768 False
280.664, 131.945, 8.292,  8.801 False
280.388, 131.947, 8.301,  8.834 False
