-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.118,  0.247
-183.796, 80.186, 0.249,  0.280
-183.791, 80.174, 0.368,  0.313
-183.783, 80.157, 0.500,  0.346
-183.773, 80.139, 0.563,  0.379
-183.761, 80.116, 0.710,  0.412
-183.748, 80.088, 0.853,  0.445
-183.734, 80.055, 1.010,  0.478
-183.720, 80.018, 1.143,  0.511
-183.706, 79.978, 1.234,  0.544
-183.693, 79.936, 1.291,  0.577
-183.679, 79.893, 1.333,  0.610
-183.666, 79.849, 1.362,  0.643
-183.652, 79.805, 1.379,  0.676
-183.639, 79.761, 1.387,  0.709
-183.626, 79.716, 1.387,  0.742
-183.612, 79.672, 1.380,  0.775
-183.599, 79.628, 1.369,  0.808
-183.585, 79.585, 1.355,  0.841
-183.572, 79.542, 1.339,  0.874
-183.558, 79.500, 1.322,  0.907
-183.545, 79.458, 1.305,  0.940
-183.532, 79.417, 1.289,  0.973
-183.518, 79.377, 1.275,  1.006
-183.505, 79.336, 1.263,  1.039
-183.492, 79.297, 1.254,  1.072
-183.478, 79.257, 1.247,  1.105
-183.465, 79.217, 1.243,  1.138
-183.451, 79.178, 1.241,  1.171
-183.438, 79.138, 1.242,  1.204
-183.424, 79.099, 1.245,  1.237
-183.410, 79.059, 1.251,  1.270
-183.397, 79.019, 1.257,  1.303
-183.383, 78.979, 1.266,  1.336
-183.369, 78.938, 1.274,  1.369
-183.355, 78.898, 1.284,  1.402
-183.341, 78.857, 1.293,  1.435
-183.327, 78.815, 1.303,  1.468
-183.313, 78.774, 1.312,  1.501
-183.299, 78.732, 1.320,  1.534
-183.285, 78.690, 1.328,  1.567
-183.270, 78.648, 1.335,  1.600
-183.256, 78.605, 1.341,  1.633
-183.242, 78.562, 1.346,  1.666
-183.228, 78.520, 1.351,  1.699
-183.213, 78.477, 1.355,  1.732
